Interactor_A	Interactor_B	Interaction_Score
P25789	P60900	1
O00232	Q9UNM6	1
P62191	P51665	1
P17987	P48643	1
P27694	P15927	0.997
Q15436	O95487	0.924
O75821	O15372	0.902
Q13435	Q15427	0.879
O15372	Q9UBQ5	0.867
Q9NYB0	Q15554	0.856
Q9Y478	Q13131	0.836
P17980	P62195	1
P43686	O75832	1
P55884	O75821	0.999
Q13404	P61088	0.999
P49736	P33991	0.998
P25205	P33992	0.993
P35249	P40937	0.991
Q9NQT5	Q9NQT4	0.987
P15927	P35244	0.977
P30153	P63151	0.968
O14777	Q9HBM1	0.953
Q9UBD5	O43913	0.874
P24928	P23193	0.84
Q12962	Q15542	0.839
P35251	P35250	0.836
O60563	P50750	0.779
Q14181	P09884	1
Q14152	P55884	1
Q14152	Q13347	1
P55884	Q13347	1
Q13416	O43913	1
P62191	P35998	1
P43686	P62195	1
P25787	P60900	1
P25788	P60900	1
P62191	Q13200	1
P35250	P40937	1
O60216	Q14683	1
P07814	P41252	1
Q13155	Q15046	1
P17987	Q99832	1
P12956	P13010	0.998
P07814	P54136	0.998
P63151	P67775	0.998
P49736	Q14566	0.998
P25786	P25788	0.997
P30153	P67775	0.996
Q12904	P54136	0.996
P33991	P33993	0.995
P68400	P67870	0.994
P33991	Q14566	0.994
P51946	P50613	0.994
P49736	P33993	0.992
Q9Y333	P62310	0.985
Q13042	P30260	0.985
P25205	P33993	0.98
P49736	P33992	0.979
Q14566	P33993	0.973
Q15436	P53992	0.958
P53621	O14579	0.957
P27694	P35244	0.948
Q13155	P14868	0.943
P63272	O00267	0.938
P33992	P33993	0.932
P35998	Q16401	0.923
P62826	P18754	0.917
Q12962	O00268	0.907
P62191	Q16401	0.898
Q13200	Q16401	0.892
Q09161	P52298	0.887
Q01081	P26368	0.874
Q9Y248	Q9BRT9	0.866
Q13868	Q9NPD3	0.856
Q07955	P26368	0.839
P12956	P78527	0.827
P08559	P11177	0.822
Q9UHI6	Q16637	0.811
Q13547	Q92769	0.799
Q12962	P49848	0.783
P57740	Q8WUM0	0.783
Q12962	P20226	0.776
Q14974	P62826	0.758
P17980	P43686	1
P43686	P35998	1
P32969	P23396	1
Q14683	Q9UQE7	1
P19784	P67870	0.997
P35250	P35249	0.995
P50613	P51948	0.994
P63220	P08865	0.993
Q9UJX6	P30260	0.985
P40938	P35249	0.985
P14678	P62318	0.961
P24534	P26641	0.96
O14777	Q9BZD4	0.932
O94979	P55735	0.921
P19447	P32780	0.908
O14964	Q92783	0.908
O95400	O94906	0.898
P43487	P62826	0.879
Q9NPJ6	Q9NWA0	0.874
P36543	O75348	0.871
Q06323	Q9UL46	0.864
Q9Y2X0	Q9NWA0	0.862
P35221	P14923	0.857
P49959	O60934	0.856
P35251	P40938	0.854
Q15370	Q15369	0.838
P60842	Q04637	0.836
O60244	Q9NX70	0.831
Q96A65	Q9UPT5	0.821
Q9UJX3	P30260	0.811
Q9NPD3	Q15024	0.804
P38159	P61978	0.798
O14964	O75886	0.786
P24928	O00267	0.774
P35998	O75832	1
P62333	Q9UNM6	1
P62191	Q9UNM6	1
P62195	Q9UNM6	1
P60900	Q9UNM6	1
O00231	Q9UNM6	1
P62333	P51665	1
P17980	P51665	1
P35998	P51665	1
O00231	P51665	1
Q9UNM6	P51665	1
P62191	O00487	1
P35998	O00487	1
O00232	O00487	1
P51665	O00487	1
P51665	Q99460	1
O00487	Q99460	1
P51665	Q13200	1
O75832	O43242	1
Q9UNM6	O43242	1
P51665	O43242	1
P62333	Q15008	1
P25787	Q15008	1
O00232	Q15008	1
P51665	Q15008	1
Q99460	Q15008	1
Q13200	Q15008	1
O43242	Q15008	1
Q9UNM6	P48556	1
Q15008	P48556	1
P17987	P78371	1
O75832	P51665	0.999
Q9UNM6	Q99460	0.998
O00487	Q15008	0.997
Q9UNM6	O00487	0.997
O00231	O00487	0.996
O00232	P51665	0.996
O75832	O00487	0.995
O75832	Q13200	0.995
P28074	Q15008	0.994
Q9UNM6	Q15008	0.992
O00487	O43242	0.991
P25786	Q9UNM6	0.976
O15371	O15372	0.957
P60228	O15372	0.947
O95602	Q9H9Y6	0.943
P25788	Q9UNM6	0.922
O15372	Q13347	0.916
Q9BTT4	O75586	0.905
O14818	Q9UNM6	0.884
O95400	P62306	0.857
O95400	O75643	0.855
Q9BWU1	Q9NWA0	0.852
P14678	O75643	0.837
Q96DI7	O75643	0.83
Q9BTT4	Q9NPJ6	0.825
Q9H1A4	P30260	1
Q9UJX4	Q9UJX3	0.854
Q9H1A4	Q9UJX3	0.846
Q15648	Q9NX70	0.78
Q13042	Q9UJX2	1
Q96KP1	Q8IYI6	1
Q9UHV9	P61758	1
Q99471	O15212	1
P40692	P54278	1
P09661	P08579	1
P29083	P29084	1
Q14152	O75821	0.997
Q9Y265	Q9Y230	0.993
P24928	P19387	0.992
Q10567	O43747	0.99
P51532	Q92922	0.989
Q9NQT5	Q06265	0.989
P51532	Q12824	0.988
P62314	P62316	0.987
P49770	Q13144	0.986
P30154	P63151	0.985
P53621	P35606	0.983
P07992	Q92889	0.98
P49458	P37108	0.978
Q9Y678	P61923	0.973
P49959	Q92878	0.971
P19388	P24928	0.969
Q13547	O95983	0.962
Q13547	Q09028	0.948
Q8WUA4	Q9UKN8	0.892
Q99816	Q9H9H4	0.883
Q13547	Q16576	0.876
O60934	Q92878	0.872
O94776	Q09028	0.869
P10515	O00330	0.85
Q9NPD3	Q06265	0.85
O94776	Q16576	0.838
O96019	Q9Y265	0.801
Q14839	Q13547	0.797
P31943	P52597	0.778
Q15543	P20226	0.772
Q9H9C1	Q9H267	0.765
Q5RKV6	Q15024	0.756
Q9UJX5	Q9UJX4	1
Q9H1A4	Q9UJX2	1
P62333	P62195	1
P62191	P62195	1
P62195	O75832	1
O75832	O00231	1
O75832	O00232	1
P62195	Q99460	1
O75832	Q99460	1
P17987	P50991	1
P17987	P49368	1
P17987	P40227	1
O75832	Q15008	0.995
P17987	P50990	0.992
Q14152	P60228	0.99
Q14152	O00303	0.985
Q9UJX6	Q9H1A4	0.985
P62333	O75832	0.984
Q9H1A4	Q9UJX4	0.978
Q9H1A4	Q13042	0.972
Q14152	O15371	0.955
Q9H1A4	Q9UJX5	0.955
Q14152	Q9UBQ5	0.942
Q9UJX6	Q9UJX4	0.916
Q9UJX5	P30260	0.905
Q93074	Q9NX70	0.886
P50748	O43264	0.873
P35251	P40937	0.855
Q9NX70	Q9NPJ6	0.854
Q6P2Q9	Q96DI7	0.848
Q9Y2X0	Q9NX70	0.846
P33992	Q14566	0.838
O75448	Q9NX70	0.823
Q9UJX5	Q9UJX2	0.822
Q9UHV7	Q9NX70	0.813
Q9NX70	Q96G25	0.796
Q13503	Q9NX70	0.775
Q9NX70	O75586	0.753
Q9Y4Y9	P62312	1
P25786	P25787	1
P25787	P25788	1
P25786	P25789	1
P25787	P25789	1
P25788	P25789	1
P25789	P28066	1
P25786	O14818	1
P25787	O14818	1
P25789	O14818	1
P28066	O14818	1
P60900	O14818	1
P25786	P49721	1
P20618	P49720	1
P49721	P49720	1
P25786	P28074	1
P25787	P28074	1
P25788	P28074	1
P20618	P28074	1
P49720	P28074	1
P20618	Q99436	1
P28072	Q99436	1
Q15459	Q12874	1
P47897	P54136	1
Q15542	P49848	1
P35998	Q13200	0.999
P53618	P48444	0.997
Q99613	O75821	0.996
P53618	Q9Y678	0.995
P19388	P19387	0.994
Q15459	Q15428	0.993
O75533	Q15393	0.993
Q9Y3B4	O75533	0.991
P05386	P05387	0.991
Q99613	P60228	0.989
P21675	Q15542	0.988
Q9UM13	Q9UJX2	0.988
P30876	P19387	0.984
P63098	Q08209	0.982
P36543	Q9UI12	0.98
P21675	P49848	0.98
Q02218	P36957	0.978
Q9UM13	P30260	0.974
Q13813	Q01082	0.969
Q9NQT5	Q9NPD3	0.96
Q9UM13	Q13042	0.946
Q9BRG1	Q86VN1	0.945
P62310	P62312	0.943
P12004	P35249	0.935
Q13868	Q9NQT4	0.925
O15371	O75821	0.922
O00161	Q12846	0.922
Q13868	Q06265	0.916
P08237	P17858	0.914
Q99613	Q9UBQ5	0.912
Q92643	Q969N2	0.9
P18074	P19447	0.897
Q12789	Q9UKN8	0.896
O43292	Q969N2	0.888
O43747	P56377	0.888
Q13416	Q9UBD5	0.887
P21675	O00268	0.875
P12004	P35251	0.871
O14579	Q9Y678	0.87
Q9UKN8	Q9Y5Q8	0.864
P61978	P14866	0.857
P62826	O14980	0.855
P11177	O00330	0.854
P19447	Q92759	0.847
P25205	Q14566	0.843
P05198	P20042	0.842
O75821	Q9UBQ5	0.834
P14866	P22626	0.826
P14866	P26599	0.816
P08648	P05556	0.802
P53618	O14579	0.797
Q12962	Q15543	0.792
Q07955	Q01081	0.761
P43686	O00231	1
P17980	Q9UNM6	1
P43686	Q9UNM6	1
P35998	Q9UNM6	1
P43686	P51665	1
P62195	P51665	1
P43686	Q99460	1
P43686	Q13200	1
Q9UNM6	Q13200	1
P62191	Q15008	1
P17980	Q15008	1
P43686	Q15008	1
P35998	Q15008	1
P62195	Q15008	1
O00231	Q15008	1
P55036	Q15008	1
Q6P2Q9	Q15029	1
Q9UNM6	P55036	0.996
O75832	P55036	0.995
P51946	P51948	0.994
P62191	O75832	0.993
Q9UJX2	P30260	0.993
Q99613	O15372	0.988
P62191	P43686	0.988
P51665	P55036	0.983
Q14152	O15372	0.98
P49848	P20226	0.928
O14777	Q8NBT2	0.921
P55884	O15372	0.921
Q9UJX4	P30260	0.905
P17980	O75832	0.9
P35251	P35249	0.873
Q9UJX5	Q13042	0.867
O95400	Q6P2Q9	0.835
O95400	Q96DI7	0.827
O00268	P20226	0.79
Q9P086	Q9NX70	0.786
Q9BTT4	Q9P086	0.758
O76071	Q9Y3D0	1
P25788	O14818	1
P28074	Q99436	1
P49720	Q99436	0.998
Q9Y333	Q9UK45	0.996
Q9UBE0	Q9UBT2	0.996
Q15819	P61088	0.994
P43246	P20585	0.991
Q9Y333	O95777	0.985
O95347	Q9NTJ3	0.984
P43246	P52701	0.984
P19022	P35221	0.977
P30154	P67775	0.968
P19447	Q13889	0.966
P19022	P14923	0.964
P62310	Q9UK45	0.959
