UniprotKB_AC	UniprotKB_ID	Gene_Symbol
A0AVT1	UBA6_HUMAN	UBA6
A0FGR8	ESYT2_HUMAN	ESYT2
A0MZ66	SHOT1_HUMAN	SHTN1
A1L0T0	ILVBL_HUMAN	ILVBL
A1X283	SPD2B_HUMAN	SH3PXD2B
A2A3N6	PIPSL_HUMAN	PIPSL
A4D2B8	PM2P1_HUMAN	PMS2P1
A5PLL7	TM189_HUMAN	TMEM189
A5YKK6	CNOT1_HUMAN	CNOT1
A6NEC2	PSAL_HUMAN	NPEPPSL1
A6NED2	RCCD1_HUMAN	RCCD1
A6NFI3	ZN316_HUMAN	ZNF316
A6NHG4	DDTL_HUMAN	DDTL
A6NIH7	U119B_HUMAN	UNC119B
A8K0Z3	WASH1_HUMAN	WASH1
A8MQ03	CRTP1_HUMAN	CYSRT1
A8MWD9	RUXGL_HUMAN	SNRPGP15
A8MXV4	NUD19_HUMAN	NUDT19
A9UHW6	MI4GD_HUMAN	MIF4GD
B0I1T2	MYO1G_HUMAN	MYO1G
O00115	DNS2A_HUMAN	DNASE2
O00116	ADAS_HUMAN	AGPS
O00151	PDLI1_HUMAN	PDLIM1
O00159	MYO1C_HUMAN	MYO1C
O00161	SNP23_HUMAN	SNAP23
O00165	HAX1_HUMAN	HAX1
O00170	AIP_HUMAN	AIP
O00186	STXB3_HUMAN	STXBP3
O00193	SMAP_HUMAN	SMAP
O00203	AP3B1_HUMAN	AP3B1
O00217	NDUS8_HUMAN	NDUFS8
O00221	IKBE_HUMAN	NFKBIE
O00231	PSD11_HUMAN	PSMD11
O00232	PSD12_HUMAN	PSMD12
O00233	PSMD9_HUMAN	PSMD9
O00255	MEN1_HUMAN	MEN1
O00264	PGRC1_HUMAN	PGRMC1
O00267	SPT5H_HUMAN	SUPT5H
O00268	TAF4_HUMAN	TAF4
O00273	DFFA_HUMAN	DFFA
O00287	RFXAP_HUMAN	RFXAP
O00303	EIF3F_HUMAN	EIF3F
O00308	WWP2_HUMAN	WWP2
